Date (yr)	Level  (mm)	 Error (mm)
1960.7083	-43.8	6.6
1960.7917	-43.1	6.6
1960.875	-42.3	6.6
1960.9583	-39.2	6.6
1961.0417	-36.4	6.6
1961.125	-31.6	6.6
1961.2083	-31.2	6.6
1961.2917	-30.8	6.6
1961.375	-33.2	6.6
1961.4583	-35.3	6.6
1961.5417	-36.2	6.6
1961.625	-37.2	6.6
1961.7083	-38.4	6.6
1961.7917	-41.5	6.6
1961.875	-43.5	6.6
1961.9583	-42.6	6.7
1962.0417	-42.7	6.7
1962.125	-41.2	6.7
1962.2083	-42.5	6.6
1962.2917	-43	6.6
1962.375	-43.8	6.6
1962.4583	-43.5	6.6
1962.5417	-45	6.6
1962.625	-42.1	6.6
1962.7083	-40.7	6.6
1962.7917	-37.5	6.6
1962.875	-38.5	6.6
1962.9583	-40.1	6.7
1963.0417	-38.9	6.6
1963.125	-39.1	6.6
1963.2083	-39.2	6.6
1963.2917	-41.2	6.6
1963.375	-42.6	6.7
1963.4583	-44.1	6.7
1963.5417	-45.4	6.7
1963.625	-46.7	6.7
1963.7083	-44.3	6.6
1963.7917	-45.5	6.6
1963.875	-43.7	6.6
1963.9583	-49.2	6.6
1964.0417	-53.4	6.6
1964.125	-57.7	6.6
1964.2083	-58.6	6.6
1964.2917	-59.1	6.6
1964.375	-54.6	6.6
1964.4583	-49.2	6.7
1964.5417	-45.2	6.7
1964.625	-45	6.7
1964.7083	-46.9	6.7
1964.7917	-49.7	6.7
1964.875	-49.2	6.7
1964.9583	-46.1	6.8
1965.0417	-41.7	6.7
1965.125	-37.2	6.7
1965.2083	-39.2	6.8
1965.2917	-42.4	6.7
1965.375	-46	6.7
1965.4583	-45.1	6.6
1965.5417	-41.9	6.5
1965.625	-38.4	6.5
1965.7083	-35	6.6
1965.7917	-36.6	6.6
1965.875	-37.1	6.7
1965.9583	-38.7	6.7
1966.0417	-39.3	6.5
1966.125	-41.3	6.5
1966.2083	-43.8	6.4
1966.2917	-45.9	6.5
1966.375	-47	6.5
1966.4583	-47.3	6.5
1966.5417	-45.5	6.5
1966.625	-45.1	6.5
1966.7083	-45.1	6.6
1966.7917	-46.5	6.6
1966.875	-49.9	6.6
1966.9583	-47.7	6.6
1967.0417	-48.9	6.6
1967.125	-48.6	6.6
1967.2083	-50.9	6.6
1967.2917	-49.3	6.5
1967.375	-47.8	6.6
1967.4583	-43	6.5
1967.5417	-42.4	6.5
1967.625	-40.4	6.5
1967.7083	-40.1	6.5
1967.7917	-39.4	6.5
1967.875	-38.8	6.5
1967.9583	-38.5	6.6
1968.0417	-38	6.7
1968.125	-40.4	6.7
1968.2083	-46.4	6.7
1968.2917	-51.4	6.7
1968.375	-55.1	6.7
1968.4583	-53.7	6.7
1968.5417	-49.3	6.7
1968.625	-41.9	6.7
1968.7083	-38	6.7
1968.7917	-34.4	6.7
1968.875	-34.1	6.7
1968.9583	-35.8	6.9
1969.0417	-34.2	6.9
1969.125	-35.6	6.9
1969.2083	-34.6	7
1969.2917	-35.8	7
1969.375	-37	7
1969.4583	-37.5	7
1969.5417	-39.5	7
1969.625	-37.3	7
1969.7083	-36.3	7
1969.7917	-34.9	7
1969.875	-36.3	7
1969.9583	-37.8	7
1970.0417	-37.2	7
1970.125	-36	7
1970.2083	-36.6	7
1970.2917	-39.5	6.9
1970.375	-39.7	6.9
1970.4583	-39.4	6.9
1970.5417	-41	6.9
1970.625	-40.3	7
1970.7083	-40.8	7
1970.7917	-37.1	7
1970.875	-37	7
1970.9583	-35.5	7
1971.0417	-33.3	7
1971.125	-30.1	7
1971.2083	-29.1	7
1971.2917	-29.8	6.9
1971.375	-33.6	6.9
1971.4583	-36.1	6.9
1971.5417	-36.9	6.9
1971.625	-34.9	6.9
1971.7083	-31.5	6.9
1971.7917	-31.9	6.9
1971.875	-34.3	6.9
1971.9583	-36	6.9
1972.0417	-32.4	6.9
1972.125	-27.6	6.9
1972.2083	-23.7	7.1
1972.2917	-23	7.1
1972.375	-21	6.9
1972.4583	-18.6	6.9
1972.5417	-17.5	6.9
1972.625	-21.5	6.9
1972.7083	-24.1	6.9
1972.7917	-26.3	6.9
1972.875	-25.3	6.9
1972.9583	-26.9	6.9
1973.0417	-31.6	6.9
1973.125	-32	6.9
1973.2083	-33	6.9
1973.2917	-30.1	6.9
1973.375	-32.2	6.9
1973.4583	-31.1	6.8
1973.5417	-32.8	6.8
1973.625	-32.8	6.8
1973.7083	-32.9	6.8
1973.7917	-30	6.8
1973.875	-23.1	6.8
1973.9583	-18.3	6.8
1974.0417	-13.8	6.8
1974.125	-14.9	6.8
1974.2083	-16	6.8
1974.2917	-15.8	6.8
1974.375	-16.1	6.8
1974.4583	-16.7	6.8
1974.5417	-18.8	6.8
1974.625	-20.5	6.8
1974.7083	-21.4	6.8
1974.7917	-22.2	6.8
1974.875	-21	6.8
1974.9583	-20.2	6.8
1975.0417	-19.5	6.8
1975.125	-18.6	6.8
1975.2083	-17.1	6.8
1975.2917	-18.4	6.7
1975.375	-19.7	6.7
1975.4583	-21.8	6.7
1975.5417	-21.8	6.7
1975.625	-20.4	6.7
1975.7083	-19.7	6.7
1975.7917	-19.1	6.7
1975.875	-18.9	6.8
1975.9583	-21.1	6.8
1976.0417	-21.3	6.8
1976.125	-24.1	6.8
1976.2083	-22.8	6.8
1976.2917	-21.6	6.8
1976.375	-20.9	6.8
1976.4583	-18.8	6.8
1976.5417	-20	6.8
1976.625	-21.9	6.8
1976.7083	-20.6	6.8
1976.7917	-21	6.7
1976.875	-18.1	6.7
1976.9583	-17.9	6.7
1977.0417	-19.3	6.7
1977.125	-22	6.7
1977.2083	-23.8	6.7
1977.2917	-26	6.7
1977.375	-25.5	6.7
1977.4583	-24.9	6.6
1977.5417	-23.9	6.6
1977.625	-23.2	6.6
1977.7083	-22.2	6.5
1977.7917	-21.5	6.5
1977.875	-19.4	6.5
1977.9583	-16.7	6.6
1978.0417	-14.1	6.6
1978.125	-10.4	6.6
1978.2083	-11.4	6.6
1978.2917	-11.7	6.6
1978.375	-15.4	6.6
1978.4583	-16.9	6.6
1978.5417	-18.3	6.7
1978.625	-16.7	6.7
1978.7083	-16.4	6.7
1978.7917	-16.1	6.7
1978.875	-20.6	6.7
1978.9583	-23.6	6.7
1979.0417	-26.4	6.7
1979.125	-25.3	6.7
1979.2083	-24.2	6.7
1979.2917	-24.5	6.7
1979.375	-25.9	6.7
1979.4583	-25.5	6.7
1979.5417	-23.1	6.7
1979.625	-18.3	6.7
1979.7083	-15.7	6.7
1979.7917	-13.3	6.7
1979.875	-15.6	6.5
1979.9583	-13.4	6.5
1980.0417	-13.6	6.5
1980.125	-12.5	6.5
1980.2083	-14.5	6.4
1980.2917	-14.2	6.5
1980.375	-14.5	6.5
1980.4583	-15.1	6.5
1980.5417	-17.6	6.6
1980.625	-19.4	6.6
1980.7083	-19.4	6.6
1980.7917	-17.6	6.6
1980.875	-12.4	6.6
1980.9583	-8.3	6.6
1981.0417	-6.2	6.5
1981.125	-5.2	6.5
1981.2083	-3.4	6.6
1981.2917	-2.4	6.6
1981.375	-1.1	6.6
1981.4583	-0.6	6.5
1981.5417	-2.3	6.5
1981.625	-1.5	6.4
1981.7083	-2.5	6.4
1981.7917	-0.4	6.4
1981.875	-1.3	6.4
1981.9583	-2.8	6.4
1982.0417	-6.6	6.4
1982.125	-7.7	6.4
1982.2083	-9	6.4
1982.2917	-11.5	6.4
1982.375	-11.9	6.4
1982.4583	-13.1	6.3
1982.5417	-14.2	6.3
1982.625	-12.8	6.3
1982.7083	-8.7	6.3
1982.7917	-3.1	6.2
1982.875	-0.5	6.2
1982.9583	0	6.4
1983.0417	1.8	6.4
1983.125	1.1	6.5
1983.2083	2.7	6.5
1983.2917	5.9	6.5
1983.375	9.1	6.5
1983.4583	7.6	6.5
1983.5417	3.4	6.5
1983.625	-4.3	6.4
1983.7083	-5.1	6.4
1983.7917	-8.1	6.5
1983.875	-5.2	6.5
1983.9583	-7.3	6.5
1984.0417	-5.9	6.5
1984.125	-4.7	6.5
1984.2083	-1.4	6.4
1984.2917	-0.6	6.3
1984.375	0.4	6.3
1984.4583	2.6	6.3
1984.5417	2.2	6.3
1984.625	3.6	6.3
1984.7083	1.4	6.3
1984.7917	0.5	6.3
1984.875	-2.8	6.3
1984.9583	-4.8	6.4
1985.0417	-8.8	6.2
1985.125	-7.9	6.2
1985.2083	-10.1	6.2
1985.2917	-10.1	6.2
1985.375	-11.9	6.3
1985.4583	-11.5	6.3
1985.5417	-12.1	6.3
1985.625	-13.8	6.3
1985.7083	-13	6.3
1985.7917	-12.3	6.3
1985.875	-10.9	6.3
1985.9583	-10.6	6.3
1986.0417	-9.2	6.3
1986.125	-8.1	6.3
1986.2083	-8.7	6.3
1986.2917	-8.9	6.3
1986.375	-10.2	6.3
1986.4583	-9.4	6.3
1986.5417	-11.7	6.3
1986.625	-10.9	6.3
1986.7083	-11.9	6.3
1986.7917	-12.3	6.3
1986.875	-12.7	6.2
1986.9583	-11.5	6.2
1987.0417	-9.6	6.2
1987.125	-6.9	6.2
1987.2083	-9.2	6.2
1987.2917	-10.8	6.3
1987.375	-9.3	6.3
1987.4583	-7.7	6.3
1987.5417	-6.6	6.3
1987.625	-11.9	6.3
1987.7083	-13.7	6.2
1987.7917	-15.1	6.2
1987.875	-10.5	6.2
1987.9583	-7	6.3
1988.0417	-7.5	6.3
1988.125	-6.2	6.2
1988.2083	-8.3	6.3
1988.2917	-6.6	6.3
1988.375	-6.5	6.3
1988.4583	-5	6.3
1988.5417	-4.8	6.3
1988.625	-3.2	6.3
1988.7083	-1.7	6.3
1988.7917	-1	6.3
1988.875	-3.3	6.3
1988.9583	-7.8	6.4
1989.0417	-7.8	6.4
1989.125	-6.4	6.3
1989.2083	-0.8	6.3
1989.2917	0	6.3
1989.375	0.5	6.3
1989.4583	-1.4	6.3
1989.5417	-1.1	6.3
1989.625	0.6	6.4
1989.7083	1.9	6.4
1989.7917	2.2	6.4
1989.875	2.7	6.4
1989.9583	1	6.4
1990.0417	-0.1	6.3
1990.125	-3.1	6.3
1990.2083	-4.2	6.3
1990.2917	-3.6	6.3
1990.375	-3.6	6.3
1990.4583	0.5	6.3
1990.5417	0.4	6.3
1990.625	4.1	6.3
1990.7083	4.1	6.3
1990.7917	5.2	6.3
1990.875	5.8	6.3
1990.9583	3.1	6.3
1991.0417	4.6	6.3
1991.125	4.8	6.3
1991.2083	5.7	6.3
1991.2917	2.3	6.3
1991.375	0.1	6.2
1991.4583	-0.3	6.3
1991.5417	1.5	6.2
1991.625	3.9	6.3
1991.7083	4.8	6.3
1991.7917	5.7	6.3
1991.875	6.2	6.3
1991.9583	5.8	6.4
1992.0417	8.3	6.4
1992.125	10.3	6.4
1992.2083	8.9	6.3
1992.2917	7.7	6.4
1992.375	4.7	6.4
1992.4583	5.4	6.4
1992.5417	3.7	6.4
1992.625	3.7	6.4
1992.7083	4.8	6.4
1992.7917	8.1	6.4
1992.875	7.2	6.3
1992.9583	5.9	6.4
1993.0417	3.9	6.4
1993.125	5	6.4
1993.2083	6.6	6.4
1993.2917	8.8	6.4
1993.375	9.2	6.4
1993.4583	5.1	6.4
1993.5417	1.6	6.4
1993.625	-1.5	6.4
1993.7083	-4.6	6.4
1993.7917	-3.4	6.4
1993.875	-4.6	6.4
1993.9583	-0.1	6.4
1994.0417	3.4	6.4
1994.125	3.2	6.4
1994.2083	4.6	6.4
1994.2917	3.1	6.4
1994.375	5.6	6.4
1994.4583	4.8	6.3
1994.5417	7.7	6.3
1994.625	7.1	6.3
1994.7083	7.1	6.3
1994.7917	6.8	6.3
1994.875	4.9	6.4
1994.9583	7.1	6.4
1995.0417	8.1	6.4
1995.125	9.3	6.4
1995.2083	10.5	6.4
1995.2917	8.8	6.4
1995.375	8.4	6.4
1995.4583	7.6	6.4
1995.5417	9.5	6.4
1995.625	9.7	6.4
1995.7083	11.5	6.4
1995.7917	12.7	6.3
1995.875	14.7	6.3
1995.9583	17.9	6.3
1996.0417	17.1	6.4
1996.125	16.8	6.4
1996.2083	11.3	6.4
1996.2917	8.7	6.4
1996.375	8	6.4
1996.4583	7.8	6.4
1996.5417	13.8	6.3
1996.625	16.1	6.4
1996.7083	21.7	6.4
1996.7917	19	6.5
1996.875	17.4	6.5
1996.9583	15.5	6.5
1997.0417	18	6.5
1997.125	20.6	6.5
1997.2083	24.1	6.5
1997.2917	24.6	6.5
1997.375	25.2	6.5
1997.4583	25	6.5
1997.5417	20.4	6.5
1997.625	20.2	6.5
1997.7083	19.1	6.5
1997.7917	24.2	6.5
1997.875	23.9	6.5
1997.9583	26.1	6.6
1998.0417	22.7	6.5
1998.125	19.2	6.5
1998.2083	15.3	6.6
1998.2917	11.7	6.7
1998.375	11.6	6.6
1998.4583	11.9	6.5
1998.5417	14.1	6.5
1998.625	15.1	6.5
1998.7083	17.3	6.5
1998.7917	15.4	6.5
1998.875	13.5	6.5
1998.9583	12.6	6.6
1999.0417	15.9	6.6
1999.125	19.6	6.6
1999.2083	24	6.5
1999.2917	23.3	6.6
1999.375	24.3	6.6
1999.4583	23.6	6.6
1999.5417	25.1	6.8
1999.625	24.1	6.8
1999.7083	23.6	6.8
1999.7917	22	6.7
1999.875	18.7	6.7
1999.9583	16.6	6.7
2000.0417	14.6	6.6
2000.125	17.3	6.6
2000.2083	21.6	6.6
2000.2917	25	6.6
2000.375	29.3	6.6
2000.4583	28.5	6.6
2000.5417	29.6	6.6
2000.625	24.3	6.6
2000.7083	21.9	6.6
2000.7917	18.4	6.6
2000.875	19.4	6.6
2000.9583	20.8	6.6
2001.0417	24.9	6.5
2001.125	25.4	6.5
2001.2083	28.3	6.5
2001.2917	26.3	6.6
2001.375	27.2	6.5
2001.4583	27.5	6.5
2001.5417	29.2	6.5
2001.625	31	6.5
2001.7083	31	6.5
2001.7917	28.1	6.5
2001.875	24.4	6.6
2001.9583	21.4	6.6
2002.0417	21.4	6.6
2002.125	22.4	6.6
2002.2083	23.3	6.6
2002.2917	22.7	6.6
2002.375	24.4	6.6
2002.4583	26.9	6.6
2002.5417	27	6.6
2002.625	26.1	6.7
2002.7083	28.1	6.7
2002.7917	29.4	6.7
2002.875	31.7	6.7
2002.9583	30.2	6.7
2003.0417	29	6.7
2003.125	27.5	6.7
2003.2083	26.8	6.7
2003.2917	30.9	6.7
2003.375	33.6	6.8
2003.4583	38	6.9
2003.5417	38.4	6.9
2003.625	41	6.9
2003.7083	41.8	7
2003.7917	41.6	7
2003.875	37.3	7
2003.9583	35.7	7.2
2004.0417	32.5	7.1
2004.125	30.1	7.1
2004.2083	31	7.1
2004.2917	32.4	7.1
2004.375	37.6	7.2
2004.4583	39.1	7.2
2004.5417	37.4	7.2
2004.625	38	7.2
2004.7083	35.5	7.4
2004.7917	35	7.3
2004.875	33	7.3
2004.9583	33	7.4
2005.0417	36.2	7.3
2005.125	36.2	7.2
2005.2083	34.5	7.4
2005.2917	34.2	7.4
2005.375	35	7.4
2005.4583	37	7.4
2005.5417	37.2	7.4
2005.625	35.7	7.2
2005.7083	32.1	7.2
2005.7917	31	7.2
2005.875	29.5	7.2
2005.9583	30.5	7.3
2006.0417	30	7.3
2006.125	33	7.3
2006.2083	37.9	7.3
2006.2917	39.8	7.3
2006.375	38.2	7.3
2006.4583	34.2	7.3
2006.5417	32.9	7.3
2006.625	35	7.3
2006.7083	37.5	7.3
2006.7917	38.7	7.4
2006.875	38.3	7.4
2006.9583	32.3	7.9
2007.0417	29.7	7.9
2007.125	24.7	7.9
2007.2083	29	7.9
2007.2917	33.5	7.9
2007.375	42.2	7.9
2007.4583	46.5	7.9
2007.5417	48.5	8
2007.625	46.9	8
2007.7083	43.2	8
2007.7917	41.3	8.1
2007.875	41.6	8.1
2007.9583	41.8	8.2
2008.0417	42.8	8.2
2008.125	41.6	8.2
2008.2083	46.2	8.2
2008.2917	49	8.2
2008.375	54.4	8.2
2008.4583	54.7	8.2
2008.5417	56.5	8.5
2008.625	53.7	8.5
2008.7083	51.5	8.5
2008.7917	47.1	8.5
2008.875	46.4	8.5
2008.9583	43.8	8.8
2009.0417	44.7	8.8
2009.125	43	8.8
2009.2083	46.4	8.8
2009.2917	47.7	8.8
2009.375	53.4	8.8
2009.4583	57	8.8
2009.5417	58.4	8.8
2009.625	59.1	8.8
2009.7083	60.9	8.8
2009.7917	62.3	8.8
2009.875	64.6	8.9
2009.9583	68.3	8.9
